=== SCALING LAW RESULTS ===
# Model types: dd, dec, sed
# Param widths: 0.5M, 0.6M, 2.4M, 2.5M, 5M, 5.3M, 14.7M, 15M, 28.9M, 30M
# Token budgets: 10M, 50M, 100M, 300M, 600M
# Total runs found: 80

--- SUMMARY ---
name	model_type	non_emb_params	tokens	flops	loss	ppl	dim	enc_layers	dec_layers	steps	total_params	time_sec
dd_0.5M_10Mtok	dd	491520	10000000	2.949e+13	9.862600	19199.3300	64	7	3	9	2590208	62.5
dd_0.6M_100Mtok	dd	589824	100000000	3.539e+14	7.707600	2225.2300	64	8	4	95	2688768	636.4
dd_0.6M_10Mtok	dd	589824	10000000	3.539e+13	9.859300	19134.7900	64	8	4	9	2688768	112.1
dd_0.6M_300Mtok	dd	589824	300000000	1.062e+15	7.096200	1207.3900	64	8	4	286	2688768	1860.6
dd_0.6M_50Mtok	dd	589824	50000000	1.769e+14	8.104200	3308.3100	64	8	4	47	2688768	329.9
dd_0.6M_600Mtok	dd	589824	600000000	2.123e+15	6.447400	631.0600	64	8	4	572	2688768	3689.9
dd_14.7M_100Mtok	dd	14745600	100000000	8.847e+15	7.706800	2223.4500	320	8	4	95	25240320	636.4
dd_14.7M_10Mtok	dd	14745600	10000000	8.847e+14	9.828300	18551.2600	320	8	4	9	25240320	112.1
dd_14.7M_300Mtok	dd	14745600	300000000	2.654e+16	6.698500	811.2200	320	8	4	286	25240320	1860.6
dd_14.7M_50Mtok	dd	14745600	50000000	4.424e+15	8.094100	3275.2100	320	8	4	47	25240320	329.9
dd_14.7M_600Mtok	dd	14745600	600000000	5.308e+16	6.035100	417.8500	320	8	4	572	25240320	3689.9
dd_15M_10Mtok	dd	14942208	10000000	8.965e+14	9.856000	19072.7600	256	13	6	9	23341568	62.5
dd_2.4M_100Mtok	dd	2359296	100000000	1.416e+15	7.708700	2227.6400	128	8	4	95	6557184	636.4
dd_2.4M_10Mtok	dd	2359296	10000000	1.416e+14	9.855400	19060.9700	128	8	4	9	6557184	112.1
dd_2.4M_300Mtok	dd	2359296	300000000	4.247e+15	6.792500	891.1500	128	8	4	286	6557184	1860.6
